Ranks,ReviewId,PlanId,OpportunityId,StatusCd,RiskTierCd,RiskTierDesc,ReviewTypeCd,ReviewStageCd,ConductDt,FinalizedDt,TNRinM,TCNRinM,OG,RBE,REG,Quarter,QuarterInNum,OGNum,REGNum,RBENum
1,377953,114614,159902,FALSE,3,Normal,O,3b,10/24/2016,11/7/2016,1.26,1.26,HPS,Technology,Europe,Fy17Q1,1,4,3,7
1,947455,282195,312092,FALSE,2,Above Normal,O,3b,6/5/2018,6/11/2018,170.84,160.03,HPS,Technology,Na,Fy18Q4,8,4,5,7
2,947454,282195,312092,FALSE,2,Above Normal,O,2b,1/12/2017,1/23/2017,170.84,160.03,HPS,Technology,Na,Fy17Q2,2,4,5,7
1,1075677,321197,350415,FALSE,2,Above Normal,O,3b,2/15/2017,2/16/2017,60.4,0,HPS,OG,AAPAC,Fy17Q2,2,4,2,3
1,1107472,330437,359549,FALSE,3,Normal,O,3b,3/26/2018,3/27/2018,1.23,1.23,HPS,Technology,Na,Fy18Q3,7,4,5,7
1,3527915,334851,363984,FALSE,3,Normal,O,2b,10/31/2016,12/16/2016,5,5,RES,Digital,Europe,Fy17Q2,2,6,3,2
1,1122893,335286,364388,FALSE,2,Above Normal,O,3b,4/20/2017,4/24/2017,23.55,4.61,RES,Technology,AAPAC,Fy17Q3,3,6,2,7
2,3358441,335286,364388,FALSE,2,Above Normal,O,2b,11/27/2016,2/13/2017,23.55,4.61,RES,Technology,AAPAC,Fy17Q2,2,6,2,7
1,1441672,427842,455779,FALSE,3,Normal,O,3b,10/16/2016,10/16/2016,0.52,0.52,RES,OG,AAPAC,Fy17Q1,1,6,2,3
1,1457693,432651,460627,FALSE,2,Above Normal,O,3b,9/6/2016,9/7/2016,12.34,12.34,PRD,Digital,Na,Fy17Q1,1,5,5,2
1,1480847,439291,467164,FALSE,3,Normal,O,3b,11/20/2016,11/23/2016,3.1,3.1,HPS,OG,Europe,Fy17Q1,1,4,3,3
2,3375814,439291,467164,FALSE,3,Normal,O,2b,9/8/2016,9/9/2016,3.1,3.1,HPS,OG,Europe,Fy17Q1,1,4,3,3
1,1498467,445200,472995,FALSE,3,Normal,O,3b,12/13/2016,1/13/2017,31.83,0,HPS,Technology,Europe,Fy17Q2,2,4,3,7
2,1498466,445200,472995,FALSE,3,Normal,O,2b,10/12/2016,10/14/2016,31.83,0,HPS,Technology,Europe,Fy17Q1,1,4,3,7
1,1546889,460446,488081,FALSE,3,Normal,O,2b,9/28/2016,9/29/2016,21.14,0,HPS,Digital,Europe,Fy17Q1,1,4,3,2
1,1546939,460475,488115,FALSE,3,Normal,O,3b,1/24/2017,1/25/2017,5.23,5.23,HPS,Technology,Europe,Fy17Q2,2,4,3,7
1,2425345,470532,498050,FALSE,2,Above Normal,O,2b,9/14/2016,9/21/2016,16.31,16.31,RES,Technology,Na,Fy17Q1,1,6,5,7
1,1651327,490417,517734,FALSE,3,Normal,O,3b,2/16/2017,2/20/2017,2.39,1.39,PRD,Operations,Na,Fy17Q2,2,5,5,4
1,1658221,492726,519997,FALSE,3,Normal,O,3b,7/25/2017,8/7/2017,2.42,2.42,PRD,Technology,Europe,Fy17Q4,4,5,3,7
1,1677908,498578,525767,FALSE,3,Normal,O,3b,4/20/2017,4/21/2017,2.83,2.83,HPS,Technology,Na,Fy17Q3,3,4,5,7
1,1915548,506981,534112,FALSE,3,Normal,O,3b,4/16/2017,4/17/2017,1.16,1.16,HPS,OG,Na,Fy17Q3,3,4,5,3
1,2669783,511147,538234,FALSE,3,Normal,O,2b,10/12/2016,10/14/2016,18.78,18.78,HPS,Technology,Na,Fy17Q1,1,4,5,7
1,1940832,513231,540319,FALSE,3,Normal,O,3b,8/29/2017,8/30/2017,3.99,3.99,PRD,Technology,LA,Fy17Q4,4,5,4,7
2,3260428,513231,540319,FALSE,3,Normal,O,2b,5/22/2017,5/23/2017,3.99,3.99,PRD,Technology,LA,Fy17Q3,3,5,4,7
1,1942615,513707,540769,FALSE,2,Above Normal,O,3b,9/21/2016,9/26/2016,38.6,38.6,HPS,OG,AAPAC,Fy17Q1,1,4,2,3
1,3423412,516090,543155,FALSE,3,Normal,O,2b,10/17/2016,10/19/2016,8.99,8.99,HPS,Technology,Na,Fy17Q1,1,4,5,7
1,1954970,516923,543978,FALSE,3,Normal,O,3b,2/26/2017,2/28/2017,8.32,8.32,PRD,Technology,Europe,Fy17Q2,2,5,3,7
